Taxon,taxon,binomial,genus,species,subspecies,taxon,Status,Accepted name,Authority,Collection source,ETS accession,ITS accession,matK accession,psbA accession
Eucalyptus oxymitra,eucalyptus oxymitra,eucalyptus oxymitra,eucalyptus,oxymitra,NA,eucalyptus oxymitra,Accepted,,Blakely,Currency Creek 1704,KT631864,,KT633033,KT632447
Eucalyptus pachycalyx subsp. pachycalyx,eucalyptus pachycalyx subsp. pachycalyx,eucalyptus pachycalyx,eucalyptus,pachycalyx,pachycalyx,eucalyptus pachycalyx subsp. pachycalyx,Accepted,,Maiden & Blakely,Currency Creek 1307,KT631865,KT631252,KT633034,KT632448
Eucalyptus pachyloma,eucalyptus pachyloma,eucalyptus pachyloma,eucalyptus,pachyloma,NA,eucalyptus pachyloma,Accepted,,Benth.,Currency Creek 3735,KT631866,KT631253,KT633035,KT632449
Eucalyptus pachyphylla,eucalyptus pachyphylla,eucalyptus pachyphylla,eucalyptus,pachyphylla,NA,eucalyptus pachyphylla,Accepted,,F.Muell.,ANBG 8503938,KT631867,AF390473,KT633036,KT632450
Eucalyptus paedoglauca,eucalyptus paedoglauca,eucalyptus paedoglauca,eucalyptus,paedoglauca,NA,eucalyptus paedoglauca,Accepted,,L.A.S.Johnson & Blaxell,Currency Creek 1298,KT631868,KT631254,KT633037,KT632451
Eucalyptus paliformis,eucalyptus paliformis,eucalyptus paliformis,eucalyptus,paliformis,NA,eucalyptus paliformis,Accepted,,L.A.S.Johnson & Blaxell,CANB 460597**,KT631869,EF051497,KT633038,KT632452
Eucalyptus paludicola,eucalyptus paludicola,eucalyptus paludicola,eucalyptus,paludicola,NA,eucalyptus paludicola,Accepted,,Nicolle,ANBG 496820,KT631870,EF488227,KT633039,
Eucalyptus panda,eucalyptus panda,eucalyptus panda,eucalyptus,panda,NA,eucalyptus panda,Accepted,,S.T.Blake,Currency Creek 683,KT631871,KT631255,KT633040,KT632453
Eucalyptus paniculata,eucalyptus paniculata,eucalyptus paniculata,eucalyptus,paniculata,NA,eucalyptus paniculata,Accepted,,Sm.,Currency Creek 2903,KT631872,KT631256,KT633041,KT632454
Eucalyptus parramattensis subsp. parramattensis,eucalyptus parramattensis subsp. parramattensis,eucalyptus parramattensis,eucalyptus,parramattensis,parramattensis,eucalyptus parramattensis subsp. parramattensis,Accepted,,C.C.Hall,Currency Creek 1763,KT631873,KT631257,KT633042,KT632455
Eucalyptus parvula,eucalyptus parvula,eucalyptus parvula,eucalyptus,parvula,NA,eucalyptus parvula,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 591,KT631874,KT631258,KT633043,KT632456
Eucalyptus patellaris,eucalyptus patellaris,eucalyptus patellaris,eucalyptus,patellaris,NA,eucalyptus patellaris,Accepted,,F.Muell.,CANB 558538**,KT631875,KT631259,,KT632457
Eucalyptus patens,eucalyptus patens,eucalyptus patens,eucalyptus,patens,NA,eucalyptus patens,Accepted,,Benth.,ANBG 55807,KT631876,FJ494724,KT633044,KT632458
Eucalyptus pauciflora subsp. pauciflora,eucalyptus pauciflora subsp. pauciflora,eucalyptus pauciflora,eucalyptus,pauciflora,pauciflora,eucalyptus pauciflora subsp. pauciflora,Accepted,,Sieber ex Spreng.,ANBG 9303293,KT631877,KT631260,KT633045,KT632459
Eucalyptus pellita,eucalyptus pellita,eucalyptus pellita,eucalyptus,pellita,NA,eucalyptus pellita,Accepted,,F.Muell.,ANBG 8413520,KT631878,KT631261,KT633046,KT632460
Eucalyptus pendens,eucalyptus pendens,eucalyptus pendens,eucalyptus,pendens,NA,eucalyptus pendens,Accepted,,Brooker,CANB 794222**,KT631879,,KT633047,KT632461
Eucalyptus perangusta,eucalyptus perangusta,eucalyptus perangusta,eucalyptus,perangusta,NA,eucalyptus perangusta,Accepted,,Brooker,Currency Creek 3712,KT631880,KT631262,KT633048,KT632462
Eucalyptus percostata,eucalyptus percostata,eucalyptus percostata,eucalyptus,percostata,NA,eucalyptus percostata,Accepted,,Brooker & P.J.Lang,Currency Creek 1603,KT631881,KT631263,KT633049,KT632463
Eucalyptus perriniana,eucalyptus perriniana,eucalyptus perriniana,eucalyptus,perriniana,NA,eucalyptus perriniana,Accepted,,F.Muell. ex Rodway,Currency Creek 584,KT631882,KT631264,AM489985,KT632464
Eucalyptus persistens subsp. tardecidens,eucalyptus persistens subsp. tardecidens,eucalyptus persistens,eucalyptus,persistens,tardecidens,eucalyptus persistens subsp. tardecidens,Synonym,Eucalyptus tardecidens,(L.A.S.Johnson & K.D.Hill),Waite Arboretum 1954B,KT631883,KT631265,KT633050,KT632465
Eucalyptus petiolaris,eucalyptus petiolaris,eucalyptus petiolaris,eucalyptus,petiolaris,NA,eucalyptus petiolaris,Synonym,Eucalyptus leucoxylon,Boland,ANBG 8317297,KT631884,KT631266,KT633051,KT632466
Eucalyptus petraea,eucalyptus petraea,eucalyptus petraea,eucalyptus,petraea,NA,eucalyptus petraea,Accepted,,D.J.Carr & S.G.M.Carr,Currency Creek 3766,KT631885,KT631267,KT633052,KT632467
Eucalyptus petrensis,eucalyptus petrensis,eucalyptus petrensis,eucalyptus,petrensis,NA,eucalyptus petrensis,Accepted,,Brooker & Hopper,ANBG 456210,KT631886,KT631268,KT633053,KT632468
Eucalyptus phaenophylla subsp. phaenophylla,eucalyptus phaenophylla subsp. phaenophylla,eucalyptus phaenophylla,eucalyptus,phaenophylla,phaenophylla,eucalyptus phaenophylla subsp. phaenophylla,Accepted,,Brooker & Hopper,CANB 794282**,KT631887,KT631269,KT633054,
Eucalyptus phenax subsp. phenax,eucalyptus phenax subsp. phenax,eucalyptus phenax,eucalyptus,phenax,phenax,eucalyptus phenax subsp. phenax,Accepted,,Brooker & Slee,Currency Creek 929,KT631888,KT631270,KT633055,KT632469
Eucalyptus phoenicea,eucalyptus phoenicea,eucalyptus phoenicea,eucalyptus,phoenicea,NA,eucalyptus phoenicea,Accepted,,F.Muell.,CANB 785492**,KT631889,FJ654391,KT633056,KT632470
Eucalyptus pilbarensis,eucalyptus pilbarensis,eucalyptus pilbarensis,eucalyptus,pilbarensis,NA,eucalyptus pilbarensis,Accepted,,Brooker & Edgecombe,CANB 804362**,KT631890,KT631271,KT633057,KT632471
Eucalyptus pileata,eucalyptus pileata,eucalyptus pileata,eucalyptus,pileata,NA,eucalyptus pileata,Accepted,,Blakely,Currency Creek 3644,KT631891,KT631272,KT633058,KT632472
Eucalyptus pilligaensis,eucalyptus pilligaensis,eucalyptus pilligaensis,eucalyptus,pilligaensis,NA,eucalyptus pilligaensis,Synonym,Eucalyptus woollsiana,F.Muell. ex R.T.Baker,Currency Creek 681,KT631892,,KT633059,
Eucalyptus pilularis,eucalyptus pilularis,eucalyptus pilularis,eucalyptus,pilularis,NA,eucalyptus pilularis,Accepted,,Sm.,Currency Creek 644,KT631893,KT631273,KT633060,KT632473
Eucalyptus pimpiniana,eucalyptus pimpiniana,eucalyptus pimpiniana,eucalyptus,pimpiniana,NA,eucalyptus pimpiniana,Accepted,,Maiden,Currency Creek 2738,KT631894,KT631274,KT633061,KT632474
Eucalyptus piperita subsp. piperita,eucalyptus piperita subsp. piperita,eucalyptus piperita,eucalyptus,piperita,piperita,eucalyptus piperita subsp. piperita,Accepted,,Sm.,ANBG 8411654,KT631895,AF058485,,KT632475
Eucalyptus placita,eucalyptus placita,eucalyptus placita,eucalyptus,placita,NA,eucalyptus placita,Accepted,,L.A.S.Johnson & K.D.Hill,Waite Arboretum 1526,KT631896,KT631275,KT633062,KT632476
Eucalyptus planchoniana,eucalyptus planchoniana,eucalyptus planchoniana,eucalyptus,planchoniana,NA,eucalyptus planchoniana,Accepted,,F.Muell.,GenBank,FJ494761,FJ494725,,
Eucalyptus platycorys subsp. platycorys,eucalyptus platycorys subsp. platycorys,eucalyptus platycorys,eucalyptus,platycorys,platycorys,eucalyptus platycorys subsp. platycorys,Accepted,,Maiden & Blakely,Currency Creek 3627,KT631897,KT631276,KT633063,KT632477
Eucalyptus platydisca,eucalyptus platydisca,eucalyptus platydisca,eucalyptus,platydisca,NA,eucalyptus platydisca,Accepted,,D.Nicolle & Brooker,CANB 638520**,KT631898,KT631277,KT633064,KT632478
Eucalyptus platyphylla,eucalyptus platyphylla,eucalyptus platyphylla,eucalyptus,platyphylla,NA,eucalyptus platyphylla,Accepted,,F.Muell.,GenBank,,AF390486,,
Eucalyptus plauta,eucalyptus plauta,eucalyptus plauta,eucalyptus,plauta,NA,eucalyptus plauta,Synonym,Eucalyptus dissimulata,L.A.S.Johnson & K.D.Hill,Currency Creek 3613,KT631899,KT631278,KT633065,KT632479
Eucalyptus pleurocarpa,eucalyptus pleurocarpa,eucalyptus pleurocarpa,eucalyptus,pleurocarpa,NA,eucalyptus pleurocarpa,Synonym,Eucalyptus tetragona,(R.Br.) F.Muell.,Currency Creek 3557,KT631900,FJ654393,,FJ654349
Eucalyptus pluricaulis subsp. pluricaulis,eucalyptus pluricaulis subsp. pluricaulis,eucalyptus pluricaulis,eucalyptus,pluricaulis,pluricaulis,eucalyptus pluricaulis subsp. pluricaulis,Accepted,,Brooker & Hopper,Currency Creek 1662,KT631901,,KT633066,
Eucalyptus polita,eucalyptus polita,eucalyptus polita,eucalyptus,polita,NA,eucalyptus polita,Accepted,,Brooker & Hopper,Currency Creek 3449,KT631902,KT631279,KT633067,KT632480
Eucalyptus polyanthemos subsp. polyanthemos,eucalyptus polyanthemos subsp. polyanthemos,eucalyptus polyanthemos,eucalyptus,polyanthemos,polyanthemos,eucalyptus polyanthemos subsp. polyanthemos,Accepted,,Schauer,Currency Creek 2899,KT631903,KT631280,KT633068,KT632481
Eucalyptus polybractea,eucalyptus polybractea,eucalyptus polybractea,eucalyptus,polybractea,NA,eucalyptus polybractea,Accepted,,F.Muell. ex R.T.Baker,Currency Creek 736,KT631904,KT631281,KT633069,KT632482
Eucalyptus populnea,eucalyptus populnea,eucalyptus populnea,eucalyptus,populnea,NA,eucalyptus populnea,Accepted,,F.Muell.,CANB 785598**,KT631905,KT631282,KT633070,KT632483
Eucalyptus porosa,eucalyptus porosa,eucalyptus porosa,eucalyptus,porosa,NA,eucalyptus porosa,Accepted,,Miq.,CANB 786047**,KT631906,KT631283,KT633071,KT632484
Eucalyptus praetermissa,eucalyptus praetermissa,eucalyptus praetermissa,eucalyptus,praetermissa,NA,eucalyptus praetermissa,Accepted,,Brooker & Hopper,CANB 610680**,KT631907,KT631284,KT633072,KT632485
Eucalyptus prava,eucalyptus prava,eucalyptus prava,eucalyptus,prava,NA,eucalyptus prava,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 671,KT631908,KT631285,KT633073,KT632486
Eucalyptus preissiana subsp. preissiana,eucalyptus preissiana subsp. preissiana,eucalyptus preissiana,eucalyptus,preissiana,preissiana,eucalyptus preissiana subsp. preissiana,Accepted,,Schauer,Currency Creek 3762,KT631909,KT631286,,KT632487
Eucalyptus prolixa,eucalyptus prolixa,eucalyptus prolixa,eucalyptus,prolixa,NA,eucalyptus prolixa,Accepted,,D.Nicolle,CANB 536396**,KT631910,,,
Eucalyptus prominens,eucalyptus prominens,eucalyptus prominens,eucalyptus,prominens,NA,eucalyptus prominens,Accepted,,Brooker,Currency Creek 1181,KT631911,KT631287,KT633074,KT632488
Eucalyptus propinqua,eucalyptus propinqua,eucalyptus propinqua,eucalyptus,propinqua,NA,eucalyptus propinqua,Accepted,,H.Deane & Maiden,Currency Creek 1239,KT631912,KT631288,KT633075,KT632489
Eucalyptus protensa,eucalyptus protensa,eucalyptus protensa,eucalyptus,protensa,NA,eucalyptus protensa,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3641,KT631913,KT631289,KT633076,KT632490
Eucalyptus proxima,eucalyptus proxima,eucalyptus proxima,eucalyptus,proxima,NA,eucalyptus proxima,Accepted,,D.Nicolle & Brooker,Currency Creek 3571,KT631914,KT631290,KT633077,KT632491
Eucalyptus pruiniramis,eucalyptus pruiniramis,eucalyptus pruiniramis,eucalyptus,pruiniramis,NA,eucalyptus pruiniramis,Accepted,,L.A.S.Johnson & K.D.Hill,GenBank,KT631915,KT631291,KT633078,KT632492
Eucalyptus pruinosa subsp. pruinosa,eucalyptus pruinosa subsp. pruinosa,eucalyptus pruinosa,eucalyptus,pruinosa,pruinosa,eucalyptus pruinosa subsp. pruinosa,Accepted,,Schauer,Mt Annan 841760,,KT631292,KT633079,KT632493
Eucalyptus pterocarpa,eucalyptus pterocarpa,eucalyptus pterocarpa,eucalyptus,pterocarpa,NA,eucalyptus pterocarpa,Accepted,,C.A.Gardner ex P.J.Lang,Currency Creek 3656,KT631916,KT631293,KT633080,KT632494
Eucalyptus pulchella,eucalyptus pulchella,eucalyptus pulchella,eucalyptus,pulchella,NA,eucalyptus pulchella,Accepted,,Desf.,Currency Creek 2984,KT631917,AF058487,KT633081,KT632495
Eucalyptus pulverulenta,eucalyptus pulverulenta,eucalyptus pulverulenta,eucalyptus,pulverulenta,NA,eucalyptus pulverulenta,Accepted,,Sims,Currency Creek 1226,KT631918,KT631294,KT633082,KT632496
Eucalyptus pumila,eucalyptus pumila,eucalyptus pumila,eucalyptus,pumila,NA,eucalyptus pumila,Accepted,,Cambage,Currency Creek 636,KT631919,EF488232,,
Eucalyptus purpurata,eucalyptus purpurata,eucalyptus purpurata,eucalyptus,purpurata,NA,eucalyptus purpurata,Accepted,,D.Nicolle,Currency Creek 3579,KT631920,KT631295,KT633083,KT632497
Eucalyptus pyriformis,eucalyptus pyriformis,eucalyptus pyriformis,eucalyptus,pyriformis,NA,eucalyptus pyriformis,Accepted,,Turcz.,Currency Creek 1660,KT631921,,KT633084,KT632498
Eucalyptus pyrocarpa,eucalyptus pyrocarpa,eucalyptus pyrocarpa,eucalyptus,pyrocarpa,NA,eucalyptus pyrocarpa,Accepted,,L.A.S.Johnson & Blaxell,ANBG 630205,KT631922,KT631296,KT633085,KT632499
Eucalyptus quadrangulata,eucalyptus quadrangulata,eucalyptus quadrangulata,eucalyptus,quadrangulata,NA,eucalyptus quadrangulata,Accepted,,H.Deane & Maiden,Currency Creek 618,KT631923,KT631297,KT633086,
Eucalyptus quadrans,eucalyptus quadrans,eucalyptus quadrans,eucalyptus,quadrans,NA,eucalyptus quadrans,Accepted,,Brooker & Hopper,Currency Creek 1099,KT631924,KT631298,KT633087,KT632500
Eucalyptus quadricostata,eucalyptus quadricostata,eucalyptus quadricostata,eucalyptus,quadricostata,NA,eucalyptus quadricostata,Accepted,,Brooker,ANBG 8603516,KT631925,KT631299,KT633088,KT632501
Eucalyptus quaerenda,eucalyptus quaerenda,eucalyptus quaerenda,eucalyptus,quaerenda,NA,eucalyptus quaerenda,Accepted,,(L.A.S.Johnson & K.D.Hill),CANB 794294**,KT631926,KT631300,KT633089,KT632502
Eucalyptus quinniorum,eucalyptus quinniorum,eucalyptus quinniorum,eucalyptus,quinniorum,NA,eucalyptus quinniorum,Accepted,,J.T.Hunter & J.J.Bruhl,ANBG 9707932,KT631927,KT631301,KT633090,KT632503
Eucalyptus racemosa,eucalyptus racemosa,eucalyptus racemosa,eucalyptus,racemosa,NA,eucalyptus racemosa,Accepted,,Cav.,ANBG 732766,KT631928,KT631302,KT633091,KT632504
Eucalyptus radiata subsp. radiata,eucalyptus radiata subsp. radiata,eucalyptus radiata,eucalyptus,radiata,radiata,eucalyptus radiata subsp. radiata,Accepted,,A.Cunn. ex DC.,Currency Creek 602,KT631929,KT631303,KT633092,KT632505
Eucalyptus ralla,eucalyptus ralla,eucalyptus ralla,eucalyptus,ralla,NA,eucalyptus ralla,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 614,KT631930,KT631304,KT633093,KT632506
Eucalyptus rameliana,eucalyptus rameliana,eucalyptus rameliana,eucalyptus,rameliana,NA,eucalyptus rameliana,Accepted,,F.Muell.,Currency Creek 543,KT631931,KT631305,KT633094,
Eucalyptus raveretiana,eucalyptus raveretiana,eucalyptus raveretiana,eucalyptus,raveretiana,NA,eucalyptus raveretiana,Accepted,,F.Muell.,Currency Creek 1297,KT631932,EF694715,KT633095,KT632507
Eucalyptus ravida,eucalyptus ravida,eucalyptus ravida,eucalyptus,ravida,NA,eucalyptus ravida,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 2781,KT631933,KT631306,KT633096,KT632508
Eucalyptus recta,eucalyptus recta,eucalyptus recta,eucalyptus,recta,NA,eucalyptus recta,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek s.n.,KT631934,KT631307,KT633097,KT632509
Eucalyptus recurva,eucalyptus recurva,eucalyptus recurva,eucalyptus,recurva,NA,eucalyptus recurva,Accepted,,Crisp,ANBG s.n.,KT631935,KT631308,KT633098,
Eucalyptus redunca,eucalyptus redunca,eucalyptus redunca,eucalyptus,redunca,NA,eucalyptus redunca,Accepted,,Schauer,Currency Creek 221,KT631936,KT631309,KT633099,KT632510
Eucalyptus regnans,eucalyptus regnans,eucalyptus regnans,eucalyptus,regnans,NA,eucalyptus regnans,Accepted,,F.Muell.,ANBG 8501815,KT631937,AF058488,KT633100,KT632511
Eucalyptus remota,eucalyptus remota,eucalyptus remota,eucalyptus,remota,NA,eucalyptus remota,Accepted,,Blakely,ANBG 9807783,KT631938,KT631310,KT633101,KT632512
Eucalyptus resinifera subsp. resinifera,eucalyptus resinifera subsp. resinifera,eucalyptus resinifera,eucalyptus,resinifera,resinifera,eucalyptus resinifera subsp. resinifera,Accepted,,Sm.,Currency Creek 2908,KT631939,KT631311,KT633102,KT632513
Eucalyptus retinens,eucalyptus retinens,eucalyptus retinens,eucalyptus,retinens,NA,eucalyptus retinens,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 648,KT631940,KT631312,KT633103,KT632514
Eucalyptus retusa,eucalyptus retusa,eucalyptus retusa,eucalyptus,retusa,NA,eucalyptus retusa,Accepted,,"D.Nicolle, M.E.French &",Currency Creek 4801,KT631941,KT631313,,
Eucalyptus rhodantha,eucalyptus rhodantha,eucalyptus rhodantha,eucalyptus,rhodantha,NA,eucalyptus rhodantha,Accepted,,Blakely & H.Steedman,Currency Creek 282,KT631942,KT631314,KT633104,KT632515
Eucalyptus rhombica,eucalyptus rhombica,eucalyptus rhombica,eucalyptus,rhombica,NA,eucalyptus rhombica,Accepted,,A.R.Bean & Brooker,Currency Creek 2104,KT631943,KT631315,,KT632516
Eucalyptus rhomboidea,eucalyptus rhomboidea,eucalyptus rhomboidea,eucalyptus,rhomboidea,NA,eucalyptus rhomboidea,Accepted,,Hopper & D.Nicolle,Currency Creek 2272,KT631944,KT631316,KT633106,KT632517
Eucalyptus rigens,eucalyptus rigens,eucalyptus rigens,eucalyptus,rigens,NA,eucalyptus rigens,Accepted,,Brooker & Hopper,Currency Creek 3595,KT631945,KT631317,KT633107,KT632518
Eucalyptus rigidula,eucalyptus rigidula,eucalyptus rigidula,eucalyptus,rigidula,NA,eucalyptus rigidula,Accepted,,Cambage & Blakely,Currency Creek 244,KT631946,KT631318,KT633108,KT632519
Eucalyptus risdonii,eucalyptus risdonii,eucalyptus risdonii,eucalyptus,risdonii,NA,eucalyptus risdonii,Accepted,,Hook.f.,Currency Creek 1982,KT631947,AF058493,KT633109,KT632520
Eucalyptus rodwayi,eucalyptus rodwayi,eucalyptus rodwayi,eucalyptus,rodwayi,NA,eucalyptus rodwayi,Accepted,,R.T.Baker & H.G.Sm.,ANBG 62705,KT631948,KT631319,KT633110,KT632521
Eucalyptus rosacea,eucalyptus rosacea,eucalyptus rosacea,eucalyptus,rosacea,NA,eucalyptus rosacea,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 518,KT631949,KT631320,KT633111,KT632522
Eucalyptus roycei,eucalyptus roycei,eucalyptus roycei,eucalyptus,roycei,NA,eucalyptus roycei,Accepted,,"S.G.M.Carr, D.J.Carr &",Currency Creek 1175,KT631950,KT631321,KT633112,KT632523
Eucalyptus rubida subsp. rubida,eucalyptus rubida subsp. rubida,eucalyptus rubida,eucalyptus,rubida,rubida,eucalyptus rubida subsp. rubida,Accepted,,H.Deane & Maiden,ANBG 732895,KT631951,HM596064,KT633113,KT632524
Eucalyptus rubiginosa,eucalyptus rubiginosa,eucalyptus rubiginosa,eucalyptus,rubiginosa,NA,eucalyptus rubiginosa,Accepted,,Brooker,Currency Creek 2114,KT631952,AF390526,,KT632525
Eucalyptus rudderi,eucalyptus rudderi,eucalyptus rudderi,eucalyptus,rudderi,NA,eucalyptus rudderi,Accepted,,Maiden,Currency Creek 2082,KT631953,KT631322,KT633114,KT632526
Eucalyptus rudis,eucalyptus rudis,eucalyptus rudis,eucalyptus,rudis,NA,eucalyptus rudis,Accepted,,Endl.,Currency Creek 1146,KT631954,KT631323,KT633115,KT632527
Eucalyptus rugosa,eucalyptus rugosa,eucalyptus rugosa,eucalyptus,rugosa,NA,eucalyptus rugosa,Accepted,,R.Br. ex Blakely,Currency Creek 3179,KT631955,KT631324,KT633116,KT632528
Eucalyptus rugulata,eucalyptus rugulata,eucalyptus rugulata,eucalyptus,rugulata,NA,eucalyptus rugulata,Accepted,,D.Nicolle,Currency Creek 3671,KT631956,,,KT632529
Eucalyptus rummeryi,eucalyptus rummeryi,eucalyptus rummeryi,eucalyptus,rummeryi,NA,eucalyptus rummeryi,Accepted,,Maiden,Currency Creek 1245,KT631957,,,KT632530
Eucalyptus salicola,eucalyptus salicola,eucalyptus salicola,eucalyptus,salicola,NA,eucalyptus salicola,Accepted,,Brooker,Currency Creek 3493,KT631958,KT631325,KT633118,KT632531
Eucalyptus saligna,eucalyptus saligna,eucalyptus saligna,eucalyptus,saligna,NA,eucalyptus saligna,Accepted,,Sm.,Currency Creek 2924,KT631959,KT631326,KT633119,KT632532
Eucalyptus salmonophloia,eucalyptus salmonophloia,eucalyptus salmonophloia,eucalyptus,salmonophloia,NA,eucalyptus salmonophloia,Accepted,,F.Muell.,CANB 564460**,KT631960,AF390509,KT633120,KT632533
Eucalyptus salubris,eucalyptus salubris,eucalyptus salubris,eucalyptus,salubris,NA,eucalyptus salubris,Accepted,,F.Muell.,Currency Creek 3496,KT631961,KT631327,KT633121,KT632534
Eucalyptus sargentii subsp. sargentii,eucalyptus sargentii subsp. sargentii,eucalyptus sargentii,eucalyptus,sargentii,sargentii,eucalyptus sargentii subsp. sargentii,Accepted,,Maiden,Currency Creek 2229,KT631962,KT631328,KT633122,KT632535
Eucalyptus saxatilis,eucalyptus saxatilis,eucalyptus saxatilis,eucalyptus,saxatilis,NA,eucalyptus saxatilis,Accepted,,J.B.Kirkp. & Brooker,ANBG 7906246,KT631963,KT631329,KT633123,
Eucalyptus scias subsp. scias,eucalyptus scias subsp. scias,eucalyptus scias,eucalyptus,scias,scias,eucalyptus scias subsp. scias,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 2911,KT631964,KT631330,,KT632536
Eucalyptus scoparia,eucalyptus scoparia,eucalyptus scoparia,eucalyptus,scoparia,NA,eucalyptus scoparia,Accepted,,Maiden,ANBG 501278,KT631965,KT631331,KT633124,KT632537
Eucalyptus scopulorum,eucalyptus scopulorum,eucalyptus scopulorum,eucalyptus,scopulorum,NA,eucalyptus scopulorum,Accepted,,K.D.Hill,Currency Creek 2927,KT631966,KT631332,KT633125,KT632538
Eucalyptus scyphocalyx,eucalyptus scyphocalyx,eucalyptus scyphocalyx,eucalyptus,scyphocalyx,NA,eucalyptus scyphocalyx,Accepted,,(Benth.) Maiden & Blakely,Waite Arboretum 1940A,KT631967,KT631333,KT633126,KT632539
Eucalyptus seeana,eucalyptus seeana,eucalyptus seeana,eucalyptus,seeana,NA,eucalyptus seeana,Accepted,,Maiden,Currency Creek 2089,KT631968,KT631334,KT633127,KT632540
Eucalyptus semota,eucalyptus semota,eucalyptus semota,eucalyptus,semota,NA,eucalyptus semota,Accepted,,Macph. & Grayling,Currency Creek 2193,KT631969,,KT633128,
Eucalyptus sepulcralis,eucalyptus sepulcralis,eucalyptus sepulcralis,eucalyptus,sepulcralis,NA,eucalyptus sepulcralis,Accepted,,F.Muell.,CANB 378343**,KT631970,EF051499,KT633129,KT632541
Eucalyptus serraensis,eucalyptus serraensis,eucalyptus serraensis,eucalyptus,serraensis,NA,eucalyptus serraensis,Accepted,,Ladiges & Whiffin,CANB 786029**,KT631971,KT631335,KT633130,KT632542
Eucalyptus sessilis,eucalyptus sessilis,eucalyptus sessilis,eucalyptus,sessilis,NA,eucalyptus sessilis,Accepted,,(Maiden) Blakely,Currency Creek 1352,KT631972,KT631336,KT633131,KT632543
Eucalyptus sicilifolia,eucalyptus sicilifolia,eucalyptus sicilifolia,eucalyptus,sicilifolia,NA,eucalyptus sicilifolia,Accepted,,L.A.S.Johnson & K.D.Hill,ANBG 8603421,KT631973,KT631337,KT633132,KT632544
Eucalyptus siderophloia,eucalyptus siderophloia,eucalyptus siderophloia,eucalyptus,siderophloia,NA,eucalyptus siderophloia,Accepted,,Benth.,ANBG 7906137,KT631974,KT631338,KT633133,
Eucalyptus sideroxylon,eucalyptus sideroxylon,eucalyptus sideroxylon,eucalyptus,sideroxylon,NA,eucalyptus sideroxylon,Accepted,,A.Cunn. ex Woolls,Currency Creek 674,KT631975,KT631339,KT633134,KT632545
Eucalyptus sieberi,eucalyptus sieberi,eucalyptus sieberi,eucalyptus,sieberi,NA,eucalyptus sieberi,Accepted,,L.A.S.Johnson,ANBG 8411661,KT631976,AF058495,KT633135,KT632546
Eucalyptus similis,eucalyptus similis,eucalyptus similis,eucalyptus,similis,NA,eucalyptus similis,Accepted,,Maiden,GenBank,,FJ654409,,FJ654359
Eucalyptus singularis,eucalyptus singularis,eucalyptus singularis,eucalyptus,singularis,NA,eucalyptus singularis,Accepted,,L.A.S.Johnson & D.F.Blaxell,Waite Arboretum 2368,KT631977,KT631340,KT633136,KT632547
Eucalyptus smithii,eucalyptus smithii,eucalyptus smithii,eucalyptus,smithii,NA,eucalyptus smithii,Accepted,,F.Muell. ex R.T.Baker,Currency Creek 598,KT631978,KT631341,KT633137,KT632548
Eucalyptus socialis subsp. socialis,eucalyptus socialis subsp. socialis,eucalyptus socialis,eucalyptus,socialis,socialis,eucalyptus socialis subsp. socialis,Accepted,,F.Muell. ex Miq.,Currency Creek 1804,KT631979,KT631342,KT633138,KT632549
Eucalyptus sparsa,eucalyptus sparsa,eucalyptus sparsa,eucalyptus,sparsa,NA,eucalyptus sparsa,Accepted,,Boomsma,Waite Arboretum 1558,KT631980,KT631343,KT633139,KT632550
Eucalyptus sparsifolia,eucalyptus sparsifolia,eucalyptus sparsifolia,eucalyptus,sparsifolia,NA,eucalyptus sparsifolia,Synonym,Eucalyptus oblonga,A.Cunn. ex DC.,Currency Creek 629,KT631981,,,KT632551
Eucalyptus spathulata subsp. spathulata,eucalyptus spathulata subsp. spathulata,eucalyptus spathulata,eucalyptus,spathulata,spathulata,eucalyptus spathulata subsp. spathulata,Accepted,,Hook.,Currency Creek 234,KT631982,AF058477,,
Eucalyptus sphaerocarpa,eucalyptus sphaerocarpa,eucalyptus sphaerocarpa,eucalyptus,sphaerocarpa,NA,eucalyptus sphaerocarpa,Accepted,,L.A.S.Johnson & Blaxell,GenBank,FJ494769,FJ494730,,
Eucalyptus splendens subsp. splendens,eucalyptus splendens subsp. splendens,eucalyptus splendens,eucalyptus,splendens,splendens,eucalyptus splendens subsp. splendens,Accepted,,Rule,Currency Creek 1722,KT631983,KT631344,KT633140,KT632552
Eucalyptus spreta,eucalyptus spreta,eucalyptus spreta,eucalyptus,spreta,NA,eucalyptus spreta,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3634,KT631984,KT631345,KT633141,KT632553
Eucalyptus squamosa,eucalyptus squamosa,eucalyptus squamosa,eucalyptus,squamosa,NA,eucalyptus squamosa,Accepted,,H.Deane & Maiden,Currency Creek 2072,KT631985,KT631346,KT633142,KT632554
